InstanceID	DependentVariableValue	Prediction	BRCA_Probability	Control_Probability
Instance17	BRCA	BRCA	0.940383045959755	0.0596169540402455
Instance5	BRCA	BRCA	0.842310551562065	0.157689448437935
Instance15	BRCA	BRCA	0.827645345258664	0.172354654741336
Instance10	BRCA	BRCA	0.803603546120558	0.196396453879442
Instance11	BRCA	BRCA	0.750398613866509	0.249601386133491
Instance3	BRCA	BRCA	0.933427260678177	0.0665727393218227
Instance20	BRCA	BRCA	0.817132119249785	0.182867880750215
Instance7	BRCA	BRCA	0.746707243037079	0.253292756962921
Instance18	BRCA	BRCA	0.897043448110844	0.102956551889156
Instance2	BRCA	BRCA	0.799870191501612	0.200129808498388
Instance16	BRCA	BRCA	0.973062952090103	0.0269370479098975
Instance1	Control	BRCA	0.634125122844919	0.365874877155081
Instance4	Control	BRCA	0.964498673952922	0.0355013260470781
Instance6	BRCA	BRCA	0.902752235978086	0.097247764021914
Instance14	BRCA	BRCA	0.915975136937	0.0840248630629996
Instance12	Control	Control	0.256402521851895	0.743597478148105
Instance13	Control	Control	0.22307534031593	0.77692465968407
Instance9	BRCA	BRCA	0.768106990435187	0.231893009564813
Instance19	BRCA	BRCA	0.947193036666014	0.0528069633339858
Instance8	Control	Control	0.488556185098873	0.511443814901127
