InstanceID	DependentVariableValue	Prediction	BRCA_Probability	Control_Probability
Instance17	BRCA	BRCA	0.974031239898532	0.0259687601014676
Instance5	BRCA	BRCA	0.843055229954085	0.156944770045915
Instance15	BRCA	BRCA	0.875245187921809	0.124754812078191
Instance10	BRCA	Control	0.493910586183784	0.506089413816216
Instance11	BRCA	Control	0.153545779702822	0.846454220297178
Instance3	BRCA	BRCA	0.862595142792634	0.137404857207366
Instance20	BRCA	BRCA	0.647709123324101	0.352290876675899
Instance7	BRCA	BRCA	0.572372182114083	0.427627817885917
Instance18	BRCA	BRCA	0.844683148202092	0.155316851797907
Instance2	BRCA	BRCA	0.825635857701152	0.174364142298848
Instance16	BRCA	BRCA	0.982907261258656	0.0170927387413439
Instance1	Control	Control	0.142057013392816	0.857942986607183
Instance4	Control	BRCA	0.976522324601829	0.0234776753981706
Instance6	BRCA	BRCA	0.601071965167675	0.398928034832325
Instance14	BRCA	BRCA	0.936380029586702	0.0636199704132985
Instance12	Control	Control	0.437912077812951	0.562087922187049
Instance13	Control	Control	0.12100647381456	0.87899352618544
Instance9	BRCA	BRCA	0.904650383670763	0.095349616329237
Instance19	BRCA	BRCA	0.974088162241618	0.025911837758382
Instance8	Control	BRCA	0.781063340489279	0.218936659510722
