InstanceID	DependentVariableValue	Prediction	BRCA_Probability	Control_Probability
Instance17	BRCA	BRCA	0.733432482110004	0.266567517889996
Instance5	BRCA	BRCA	0.723730117680841	0.276269882319159
Instance15	BRCA	Control	0.443126664673672	0.556873335326328
Instance10	BRCA	BRCA	0.883324721364544	0.116675278635456
Instance11	BRCA	BRCA	0.643400153803226	0.356599846196774
Instance3	BRCA	BRCA	0.756686787016685	0.243313212983315
Instance20	BRCA	BRCA	0.772929929420831	0.227070070579169
Instance7	BRCA	BRCA	0.759238666885487	0.240761333114513
Instance18	BRCA	BRCA	0.746841898271814	0.253158101728186
Instance2	BRCA	BRCA	0.740604769231902	0.259395230768098
Instance16	BRCA	BRCA	0.561406603924885	0.438593396075115
Instance1	Control	BRCA	0.930979459938289	0.0690205400617114
Instance4	Control	BRCA	0.892921557125606	0.107078442874394
Instance6	BRCA	BRCA	0.745755760129335	0.254244239870665
Instance14	BRCA	BRCA	0.754094791616458	0.245905208383542
Instance12	Control	BRCA	0.735605458450866	0.264394541549134
Instance13	Control	BRCA	0.762234570425369	0.237765429574631
Instance9	BRCA	BRCA	0.756307594031232	0.243692405968768
Instance19	BRCA	BRCA	0.79592369607597	0.204076303924029
Instance8	Control	BRCA	0.787627726280351	0.212372273719649
