InstanceID	DependentVariableValue	Prediction	BRCA_Probability	Control_Probability
Instance17	BRCA	BRCA	0.943053757664441	0.0569462423355587
Instance5	BRCA	Control	0.43556371000128	0.56443628999872
Instance15	BRCA	BRCA	0.75601181097582	0.24398818902418
Instance10	BRCA	Control	0.374931776916302	0.625068223083698
Instance11	BRCA	BRCA	0.6631504658006	0.3368495341994
Instance3	BRCA	BRCA	0.857623195145068	0.142376804854932
Instance20	BRCA	BRCA	0.80569164028775	0.19430835971225
Instance7	BRCA	BRCA	0.672135551978802	0.327864448021198
Instance18	BRCA	BRCA	0.840392964666678	0.159607035333322
Instance2	BRCA	BRCA	0.969423629394667	0.0305763706053326
Instance16	BRCA	BRCA	0.940842926165471	0.0591570738345288
Instance1	Control	Control	0.35346936561905	0.64653063438095
Instance4	Control	BRCA	0.973753577623539	0.0262464223764607
Instance6	BRCA	Control	0.370706283415466	0.629293716584534
Instance14	BRCA	BRCA	0.903327023604707	0.0966729763952934
Instance12	Control	BRCA	0.628857878442289	0.371142121557711
Instance13	Control	Control	0.232763689754275	0.767236310245725
Instance9	BRCA	BRCA	0.576989653172799	0.423010346827201
Instance19	BRCA	BRCA	0.936138414064397	0.0638615859356031
Instance8	Control	BRCA	0.728027032373176	0.271972967626824
