InstanceID	DependentVariableValue	Prediction	BRCA_Probability	Control_Probability
Instance17	BRCA	BRCA	0.986065055471945	0.0139349445280549
Instance5	BRCA	BRCA	0.987552962326909	0.0124470376730905
Instance15	BRCA	BRCA	0.9549838502476	0.0450161497524003
Instance10	BRCA	Control	0.467731866971488	0.532268133028512
Instance11	BRCA	BRCA	0.854082823446539	0.145917176553461
Instance3	BRCA	BRCA	0.953980104894565	0.0460198951054346
Instance20	BRCA	BRCA	0.739167528816358	0.260832471183642
Instance7	BRCA	BRCA	0.696970654391515	0.303029345608485
Instance18	BRCA	BRCA	0.938336687718913	0.061663312281087
Instance2	BRCA	BRCA	0.917770689997516	0.0822293100024842
Instance16	BRCA	BRCA	0.985016485388532	0.0149835146114681
Instance1	Control	Control	0.109046089481558	0.890953910518442
Instance4	Control	BRCA	0.806104179267761	0.193895820732239
Instance6	BRCA	BRCA	0.86240601534634	0.137593984653659
Instance14	BRCA	BRCA	0.979041620217779	0.0209583797822213
Instance12	Control	BRCA	0.731663193070476	0.268336806929524
Instance13	Control	BRCA	0.514627018770454	0.485372981229547
Instance9	BRCA	BRCA	0.561745713323725	0.438254286676275
Instance19	BRCA	BRCA	0.955184382945862	0.0448156170541376
Instance8	Control	Control	0.186515038002985	0.813484961997015
