InstanceID	DependentVariableValue	Prediction	BRCA_Probability	Control_Probability
Instance17	BRCA	BRCA	0.907692811541705	0.0923071884582949
Instance5	BRCA	BRCA	0.938284928340998	0.0617150716590026
Instance15	BRCA	BRCA	0.845827466361025	0.154172533638975
Instance10	BRCA	BRCA	0.679356711123586	0.320643288876414
Instance11	BRCA	Control	0.47225741710759	0.52774258289241
Instance3	BRCA	BRCA	0.942853272736979	0.0571467272630207
Instance20	BRCA	BRCA	0.795536821593849	0.204463178406151
Instance7	BRCA	BRCA	0.779392077653614	0.220607922346386
Instance18	BRCA	BRCA	0.926429899632417	0.073570100367583
Instance2	BRCA	BRCA	0.831959300874184	0.168040699125816
Instance16	BRCA	BRCA	0.857552829228972	0.142447170771028
Instance1	Control	Control	0.28784863448498	0.71215136551502
Instance4	Control	BRCA	0.948483032385031	0.0515169676149693
Instance6	BRCA	BRCA	0.843811040431556	0.156188959568444
Instance14	BRCA	BRCA	0.900582037440882	0.0994179625591182
Instance12	Control	BRCA	0.571661483580898	0.428338516419102
Instance13	Control	Control	0.0689728483600419	0.931027151639958
Instance9	BRCA	BRCA	0.665294883281699	0.334705116718301
Instance19	BRCA	BRCA	0.913143604703506	0.0868563952964939
Instance8	Control	Control	0.400082734988908	0.599917265011092
