InstanceID	DependentVariableValue	Prediction	BRCA_Probability	Control_Probability
Instance17	BRCA	BRCA	0.589375738474942	0.410624261525058
Instance5	BRCA	BRCA	0.881607743151109	0.118392256848891
Instance15	BRCA	BRCA	0.795630099924379	0.204369900075621
Instance10	BRCA	BRCA	0.801943332216986	0.198056667783014
Instance11	BRCA	BRCA	0.751610809164693	0.248389190835307
Instance3	BRCA	BRCA	0.862285296854242	0.137714703145758
Instance20	BRCA	BRCA	0.725112763243462	0.274887236756538
Instance7	BRCA	BRCA	0.616890357030921	0.383109642969079
Instance18	BRCA	BRCA	0.886903355517757	0.113096644482243
Instance2	BRCA	BRCA	0.682911107982811	0.317088892017189
Instance16	BRCA	BRCA	0.921778155508093	0.0782218444919077
Instance1	Control	BRCA	0.724770424504025	0.275229575495975
Instance4	Control	BRCA	0.955328972090131	0.0446710279098691
Instance6	BRCA	Control	0.208462883766307	0.791537116233693
Instance14	BRCA	BRCA	0.801867356076106	0.198132643923894
Instance12	Control	BRCA	0.644841384816089	0.355158615183911
Instance13	Control	BRCA	0.712129342114783	0.287870657885217
Instance9	BRCA	BRCA	0.772632119073097	0.227367880926903
Instance19	BRCA	BRCA	0.825002885638902	0.174997114361098
Instance8	Control	BRCA	0.652228545930464	0.347771454069536
