InstanceID	DependentVariableValue	Prediction	BRCA_Probability	Control_Probability
Instance17	BRCA	BRCA	0.902306886413781	0.0976931135862189
Instance5	BRCA	BRCA	0.787825469420817	0.212174530579183
Instance15	BRCA	BRCA	0.595762352597643	0.404237647402358
Instance10	BRCA	BRCA	0.819278081665199	0.180721918334801
Instance11	BRCA	Control	0.214741176927507	0.785258823072493
Instance3	BRCA	BRCA	0.884912807970065	0.115087192029935
Instance20	BRCA	Control	0.455578096357606	0.544421903642394
Instance7	BRCA	Control	0.447042889455667	0.552957110544333
Instance18	BRCA	BRCA	0.933976469285322	0.0660235307146779
Instance2	BRCA	Control	0.413529177240922	0.586470822759077
Instance16	BRCA	BRCA	0.76980606458907	0.23019393541093
Instance1	Control	BRCA	0.770503169786962	0.229496830213038
Instance4	Control	BRCA	0.874029007642657	0.125970992357343
Instance6	BRCA	BRCA	0.749368691467497	0.250631308532503
Instance14	BRCA	BRCA	0.744741747845283	0.255258252154717
Instance12	Control	BRCA	0.792333594480097	0.207666405519902
Instance13	Control	BRCA	0.75653822598813	0.243461774011869
Instance9	BRCA	BRCA	0.766126485865276	0.233873514134724
Instance19	BRCA	BRCA	0.92394173128137	0.0760582687186295
Instance8	Control	BRCA	0.890761516855047	0.109238483144953
