InstanceID	DependentVariableValue	Prediction	BRCA_Probability	Control_Probability
Instance17	BRCA	BRCA	0.947661349213525	0.0523386507864755
Instance5	BRCA	BRCA	0.858119523401961	0.141880476598039
Instance15	BRCA	BRCA	0.914356257273266	0.0856437427267341
Instance10	BRCA	BRCA	0.789295816652195	0.210704183347806
Instance11	BRCA	BRCA	0.702849655827782	0.297150344172218
Instance3	BRCA	BRCA	0.845240575528393	0.154759424471607
Instance20	BRCA	BRCA	0.556197024159155	0.443802975840845
Instance7	BRCA	BRCA	0.5	0.5
Instance18	BRCA	BRCA	0.911728593748437	0.0882714062515631
Instance2	BRCA	BRCA	0.719160137740949	0.280839862259051
Instance16	BRCA	BRCA	0.776250869170489	0.223749130829511
Instance1	Control	Control	0.101119044124479	0.898880955875521
Instance4	Control	BRCA	0.931622016199878	0.0683779838001225
Instance6	BRCA	Control	0.480151960629844	0.519848039370156
Instance14	BRCA	BRCA	0.944118073257548	0.0558819267424524
Instance12	Control	Control	0.464148380714614	0.535851619285386
Instance13	Control	Control	0.112827010926197	0.887172989073803
Instance9	BRCA	BRCA	0.856542722820292	0.143457277179708
Instance19	BRCA	BRCA	0.967032165888142	0.0329678341118578
Instance8	Control	Control	0.44827600122109	0.55172399877891
