InstanceID	DependentVariableValue	Prediction	BRCA_Probability	Control_Probability
Instance17	BRCA	BRCA	0.862372107237633	0.137627892762367
Instance5	BRCA	BRCA	0.505852033704534	0.494147966295466
Instance15	BRCA	BRCA	0.880014481903973	0.119985518096027
Instance10	BRCA	BRCA	0.6048239051349	0.3951760948651
Instance11	BRCA	BRCA	0.7251994172215	0.2748005827785
Instance3	BRCA	BRCA	0.761797451745186	0.238202548254814
Instance20	BRCA	BRCA	0.72292322677732	0.277076773222679
Instance7	BRCA	BRCA	0.627609005043538	0.372390994956462
Instance18	BRCA	BRCA	0.789479726579881	0.210520273420119
Instance2	BRCA	BRCA	0.606460117474138	0.393539882525862
Instance16	BRCA	BRCA	0.764342052452981	0.235657947547019
Instance1	Control	BRCA	0.768336366380188	0.231663633619812
Instance4	Control	BRCA	0.904620293662907	0.0953797063370928
Instance6	BRCA	BRCA	0.642174727888643	0.357825272111357
Instance14	BRCA	BRCA	0.823542669245387	0.176457330754613
Instance12	Control	BRCA	0.753501037583297	0.246498962416703
Instance13	Control	BRCA	0.70247362467701	0.29752637532299
Instance9	BRCA	BRCA	0.663838149439364	0.336161850560636
Instance19	BRCA	BRCA	0.76957308098978	0.23042691901022
Instance8	Control	BRCA	0.765669496004313	0.234330503995687
