InstanceID	DependentVariableValue	Prediction	BRCACancer_Probability	Control_Probability
D09	Control	Control	0.297830013690094	0.702169986309906
F04	Control	Control	0.17228682911318	0.82771317088682
H09	BRCACancer	Control	0.493620402888382	0.506379597111618
J09	Control	BRCACancer	0.586902258736414	0.413097741263586
J05	Control	Control	0.310653481639131	0.689346518360869
J04	Control	Control	0.268500506389101	0.731499493610899
K01	BRCACancer	BRCACancer	0.602420102603871	0.397579897396129
J11	Control	Control	0.31540790515377	0.68459209484623
I11	Control	Control	0.405458079007324	0.594541920992676
C02	BRCACancer	Control	0.294729441375927	0.705270558624073
C10	BRCACancer	Control	0.459141095347317	0.540858904652683
I09	Control	Control	0.163437770406221	0.83656222959378
B10	Control	Control	0.308586926721355	0.691413073278645
F01	Control	Control	0.265337724027162	0.734662275972838
F11	Control	Control	0.144271654304875	0.855728345695125
D12	Control	Control	0.124253772156449	0.875746227843551
J07	Control	Control	0.168751396327967	0.831248603672033
A08	Control	Control	0.272928215095009	0.727071784904991
C07	Control	Control	0.449390020483822	0.550609979516178
I13	Control	Control	0.087665442915198	0.912334557084802
E09	BRCACancer	Control	0.0453829404835373	0.954617059516463
I02	Control	Control	0.121460610396713	0.878539389603287
E11	Control	Control	0.0684179378053695	0.93158206219463
G05	BRCACancer	Control	0.360488597029004	0.639511402970996
E10	BRCACancer	BRCACancer	0.736233565659278	0.263766434340722
B04	BRCACancer	Control	0.180388879119905	0.819611120880095
F02	Control	Control	0.450399669185087	0.549600330814913
H01	Control	BRCACancer	0.74403520904792	0.25596479095208
H02	Control	Control	0.0600433341257776	0.939956665874222
J08	Control	Control	0.0661601232976752	0.933839876702325
A07	Control	Control	0.14816499034778	0.85183500965222
J03	Control	Control	0.0761799821007435	0.923820017899256
K03	BRCACancer	Control	0.479633810029899	0.520366189970101
K02	BRCACancer	BRCACancer	0.611250403454023	0.388749596545977
C09	Control	BRCACancer	0.651717579640797	0.348282420359203
I10	Control	Control	0.29775998507329	0.70224001492671
E01	BRCACancer	BRCACancer	0.692896481770333	0.307103518229667
G04	BRCACancer	Control	0.101353516633801	0.898646483366199
B08	Control	Control	0.0307705293002917	0.969229470699708
D07	Control	Control	0.361964875997053	0.638035124002947
D01	BRCACancer	Control	0.179995763338252	0.820004236661748
G10	BRCACancer	BRCACancer	0.7308062322046	0.2691937677954
E08	Control	Control	0.305829153553835	0.694170846446165
E07	BRCACancer	BRCACancer	0.77297898930953	0.22702101069047
G09	Control	Control	0.225007675796905	0.774992324203095
C11	Control	Control	0.144172068011099	0.855827931988901
I04	Control	Control	0.298654289290329	0.701345710709671
I06	Control	Control	0.217921059817975	0.782078940182025
I08	Control	Control	0.317884174512265	0.682115825487735
I07	Control	Control	0.204205613686932	0.795794386313068
E12	BRCACancer	Control	0.482884117934718	0.517115882065281
B09	Control	Control	0.176969223588758	0.823030776411242
D06	BRCACancer	Control	0.103103344730976	0.896896655269024
D04	BRCACancer	Control	0.0614857672749854	0.938514232725015
F06	Control	BRCACancer	0.698948846284532	0.301051153715468
D02	BRCACancer	Control	0.292596213916848	0.707403786083151
H12	BRCACancer	Control	0.301569452796756	0.698430547203243
F12	Control	Control	0.0952573607192066	0.904742639280793
A05	Control	Control	0.102683228154454	0.897316771845546
A12	Control	Control	0.467852632318616	0.532147367681384
C04	Control	Control	0.469560903760381	0.530439096239618
E02	Control	Control	0.277686169434585	0.722313830565415
G03	Control	BRCACancer	0.549246969623321	0.450753030376679
B02	Control	BRCACancer	0.707883254088837	0.292116745911163
F05	Control	Control	0.072215549647628	0.927784450352372
H11	BRCACancer	Control	0.154433937530102	0.845566062469898
H10	BRCACancer	BRCACancer	0.568282321662793	0.431717678337207
F10	Control	Control	0.059468751035861	0.94053124896414
H04	Control	Control	0.0387063202061943	0.961293679793806
J01	Control	Control	0.214346039506035	0.785653960493965
J10	Control	Control	0.258008484425254	0.741991515574746
C06	Control	Control	0.25463696249688	0.74536303750312
I12	Control	Control	0.0162050811750586	0.983794918824941
G11	BRCACancer	Control	0.424826675848516	0.575173324151484
I03	Control	BRCACancer	0.531344431972006	0.468655568027994
B05	BRCACancer	Control	0.338031966755035	0.661968033244965
D08	Control	Control	0.177985888651719	0.82201411134828
D03	BRCACancer	Control	0.304248090514448	0.695751909485552
F03	Control	Control	0.299303883399593	0.700696116600407
A06	Control	Control	0.107302907764168	0.892697092235832
A03	Control	BRCACancer	0.64779366451774	0.35220633548226
E04	Control	Control	0.0727439112344685	0.927256088765532
C12	BRCACancer	BRCACancer	0.546611486168076	0.453388513831924
G02	Control	Control	0.26066365732707	0.73933634267293
G08	Control	Control	0.0532565494811712	0.946743450518829
B06	BRCACancer	Control	0.266099755936439	0.733900244063561
B01	Control	Control	0.386177505872784	0.613822494127216
B03	BRCACancer	Control	0.391531821047296	0.608468178952704
D11	Control	Control	0.447452125410459	0.552547874589541
H07	BRCACancer	Control	0.294665818904831	0.705334181095169
J06	Control	BRCACancer	0.652885936486364	0.347114063513637
A02	Control	Control	0.160508376866125	0.839491623133875
A01	Control	Control	0.243285865809209	0.75671413419079
C05	BRCACancer	Control	0.206328504523314	0.793671495476686
C01	BRCACancer	BRCACancer	0.807960857328709	0.192039142671291
E06	BRCACancer	Control	0.435109911083555	0.564890088916445
E05	Control	Control	0.314823748216259	0.68517625178374
G01	Control	Control	0.300146008123892	0.699853991876108
G07	Control	Control	0.0283499286349023	0.971650071365098
B12	Control	Control	0.44430315111777	0.55569684888223
H08	BRCACancer	BRCACancer	0.604026855092739	0.395973144907261
H03	Control	Control	0.119517861733253	0.880482138266747
K05	Control	Control	0.271549039503376	0.728450960496624
A09	Control	Control	0.17894911785166	0.82105088214834
J02	Control	Control	0.225778602780947	0.774221397219053
A04	Control	Control	0.145536405912985	0.854463594087015
J12	Control	Control	0.279667617615228	0.720332382384772
A11	Control	Control	0.0778566625988358	0.922143337401164
C03	BRCACancer	Control	0.297541402575272	0.702458597424728
G06	BRCACancer	BRCACancer	0.66614656176806	0.33385343823194
B11	Control	Control	0.257884707649729	0.742115292350271
B07	BRCACancer	Control	0.185030198320627	0.814969801679373
D05	BRCACancer	BRCACancer	0.699139872347544	0.300860127652456
F07	Control	Control	0.0682525698220582	0.931747430177942
F09	Control	Control	0.227710781198073	0.772289218801927
D10	Control	Control	0.313401419884446	0.686598580115554
H06	Control	Control	0.166773737775544	0.833226262224456
K04	BRCACancer	BRCACancer	0.590777179392685	0.409222820607315
A10	Control	Control	0.208266117946815	0.791733882053185
C08	Control	Control	0.0623505727499593	0.93764942725004
G12	BRCACancer	Control	0.295003312201731	0.704996687798269
E03	Control	Control	0.365508317776508	0.634491682223492
I01	Control	BRCACancer	0.727277370193883	0.272722629806117
I05	Control	Control	0.18156640939485	0.81843359060515
