InstanceID	DependentVariableValue	Prediction	BRCACancer_Probability	Control_Probability
D09	Control	Control	0.31953794558157	0.68046205441843
F04	Control	Control	0.230157569540417	0.769842430459583
H09	BRCACancer	Control	0.279972747658639	0.720027252341361
J09	Control	BRCACancer	0.679761178565315	0.320238821434684
J05	Control	Control	0.391988019274644	0.608011980725356
J04	Control	Control	0.306304667420458	0.693695332579542
K01	BRCACancer	Control	0.329662189125859	0.670337810874141
J11	Control	Control	0.141999803421102	0.858000196578898
I11	Control	BRCACancer	0.531038570096535	0.468961429903465
C02	BRCACancer	Control	0.238731791888663	0.761268208111337
C10	BRCACancer	Control	0.417243357496171	0.582756642503829
I09	Control	Control	0.198221698676927	0.801778301323073
B10	Control	BRCACancer	0.523157383821894	0.476842616178107
F01	Control	Control	0.221531409457837	0.778468590542163
F11	Control	Control	0.156371014820668	0.843628985179332
D12	Control	Control	0.174251484322003	0.825748515677997
J07	Control	Control	0.236130356687464	0.763869643312536
A08	Control	Control	0.284217035954685	0.715782964045315
C07	Control	Control	0.275533611311154	0.724466388688846
I13	Control	Control	0.303765670149179	0.69623432985082
E09	BRCACancer	Control	0.161605733468027	0.838394266531973
I02	Control	Control	0.34040310097397	0.659596899026029
E11	Control	Control	0.44102521603483	0.55897478396517
G05	BRCACancer	Control	0.304219166798104	0.695780833201896
E10	BRCACancer	Control	0.329610174148367	0.670389825851633
B04	BRCACancer	Control	0.377522747295682	0.622477252704318
F02	Control	Control	0.303430467318812	0.696569532681188
H01	Control	Control	0.385101676421712	0.614898323578288
H02	Control	Control	0.286908107871843	0.713091892128157
J08	Control	Control	0.259463784444898	0.740536215555102
A07	Control	Control	0.352338737802318	0.647661262197682
J03	Control	Control	0.288938779941443	0.711061220058557
K03	BRCACancer	Control	0.35564472126479	0.64435527873521
K02	BRCACancer	Control	0.310460171386973	0.689539828613027
C09	Control	Control	0.295828542829505	0.704171457170495
I10	Control	Control	0.303110852303717	0.696889147696283
E01	BRCACancer	Control	0.394066931297572	0.605933068702428
G04	BRCACancer	Control	0.321747101220703	0.678252898779297
B08	Control	Control	0.295306566195864	0.704693433804136
D07	Control	Control	0.19743877201622	0.80256122798378
D01	BRCACancer	Control	0.332424027393166	0.667575972606834
G10	BRCACancer	Control	0.351716143760075	0.648283856239925
E08	Control	Control	0.309552175751545	0.690447824248455
E07	BRCACancer	Control	0.205368721909771	0.794631278090229
G09	Control	Control	0.223734702833391	0.776265297166609
C11	Control	Control	0.180785385226068	0.819214614773932
I04	Control	Control	0.311622182243785	0.688377817756215
I06	Control	Control	0.445477326139128	0.554522673860872
I08	Control	Control	0.473591089730925	0.526408910269075
I07	Control	Control	0.397494105243537	0.602505894756463
E12	BRCACancer	Control	0.24725440188067	0.75274559811933
B09	Control	Control	0.265163704339608	0.734836295660392
D06	BRCACancer	Control	0.173556296411077	0.826443703588923
D04	BRCACancer	Control	0.286802556742969	0.71319744325703
F06	Control	Control	0.393031189401889	0.606968810598111
D02	BRCACancer	Control	0.322952495833793	0.677047504166207
H12	BRCACancer	Control	0.150538844518885	0.849461155481115
F12	Control	Control	0.352265893040474	0.647734106959526
A05	Control	Control	0.10030445036089	0.89969554963911
A12	Control	Control	0.258668371015329	0.741331628984671
C04	Control	Control	0.5	0.5
E02	Control	Control	0.272920846710257	0.727079153289743
G03	Control	Control	0.124248340397819	0.875751659602181
B02	Control	BRCACancer	0.630534487162224	0.369465512837776
F05	Control	Control	0.308520011532866	0.691479988467134
H11	BRCACancer	Control	0.318263679968706	0.681736320031294
H10	BRCACancer	Control	0.318039090235915	0.681960909764085
F10	Control	Control	0.307588420023464	0.692411579976536
H04	Control	Control	0.311079738186459	0.688920261813541
J01	Control	Control	0.313802470720109	0.686197529279891
J10	Control	Control	0.310178947235113	0.689821052764887
C06	Control	Control	0.312130033039759	0.687869966960241
I12	Control	Control	0.309452752907847	0.690547247092153
G11	BRCACancer	Control	0.312824697014517	0.687175302985483
I03	Control	Control	0.313957593454658	0.686042406545342
B05	BRCACancer	Control	0.312097766411444	0.687902233588555
D08	Control	Control	0.248066903688276	0.751933096311725
D03	BRCACancer	Control	0.285515599009427	0.714484400990573
F03	Control	Control	0.16970264441125	0.83029735558875
A06	Control	Control	0.278652735573946	0.721347264426054
A03	Control	Control	0.352595438302497	0.647404561697503
E04	Control	Control	0.243689622786472	0.756310377213528
C12	BRCACancer	Control	0.232477652059946	0.767522347940054
G02	Control	Control	0.288561654796451	0.711438345203549
G08	Control	Control	0.284863301982582	0.715136698017418
B06	BRCACancer	BRCACancer	0.655418098606348	0.344581901393652
B01	Control	Control	0.391531636435044	0.608468363564956
B03	BRCACancer	Control	0.3523147296647	0.6476852703353
D11	Control	Control	0.436229064193699	0.563770935806301
H07	BRCACancer	Control	0.402878973551076	0.597121026448924
J06	Control	BRCACancer	0.64694266116198	0.35305733883802
A02	Control	Control	0.242168066602751	0.757831933397249
A01	Control	Control	0.291654435415247	0.708345564584753
C05	BRCACancer	Control	0.33820939557064	0.66179060442936
C01	BRCACancer	Control	0.310596392810828	0.689403607189173
E06	BRCACancer	BRCACancer	0.534977807020153	0.465022192979847
E05	Control	Control	0.397836783432853	0.602163216567147
G01	Control	Control	0.259258857676054	0.740741142323946
G07	Control	Control	0.214980687926012	0.785019312073988
B12	Control	BRCACancer	0.511263686107833	0.488736313892167
H08	BRCACancer	Control	0.313108954575654	0.686891045424346
H03	Control	Control	0.232159483332535	0.767840516667465
K05	Control	Control	0.256912546794737	0.743087453205263
A09	Control	Control	0.264904913191484	0.735095086808516
J02	Control	Control	0.350049952782173	0.649950047217827
A04	Control	Control	0.290054577160523	0.709945422839477
J12	Control	Control	0.308620480575121	0.691379519424878
A11	Control	Control	0.224000259367579	0.77599974063242
C03	BRCACancer	Control	0.28797284980638	0.71202715019362
G06	BRCACancer	Control	0.437171043761451	0.562828956238549
B11	Control	Control	0.328273543671418	0.671726456328582
B07	BRCACancer	Control	0.269734898588533	0.730265101411467
D05	BRCACancer	Control	0.338189522247263	0.661810477752737
F07	Control	Control	0.327377756110564	0.672622243889436
F09	Control	Control	0.29880251582621	0.70119748417379
D10	Control	Control	0.313878202585273	0.686121797414727
H06	Control	Control	0.303797347571522	0.696202652428477
K04	BRCACancer	Control	0.307917662969351	0.692082337030649
A10	Control	Control	0.317274920192024	0.682725079807976
C08	Control	Control	0.297096044820853	0.702903955179147
G12	BRCACancer	Control	0.362022515307003	0.637977484692997
E03	Control	Control	0.288424263447584	0.711575736552416
I01	Control	Control	0.321608074365857	0.678391925634143
I05	Control	Control	0.288617726277619	0.711382273722382
