InstanceID	DependentVariableValue	Prediction	BRCACancer_Probability	Control_Probability
D09	Control	Control	0.236635865921074	0.763364134078926
F04	Control	Control	0.343341030155661	0.656658969844339
H09	BRCACancer	Control	0.355412219607177	0.644587780392823
J09	Control	BRCACancer	0.756208371860587	0.243791628139413
J05	Control	Control	0.316912457632466	0.683087542367534
J04	Control	Control	0.174385360949836	0.825614639050164
K01	BRCACancer	Control	0.294486276418155	0.705513723581845
J11	Control	Control	0.322098796655503	0.677901203344497
I11	Control	Control	0.257862385137015	0.742137614862985
C02	BRCACancer	Control	0.154004879902023	0.845995120097977
C10	BRCACancer	Control	0.359754602314923	0.640245397685077
I09	Control	Control	0.34906370582299	0.65093629417701
B10	Control	BRCACancer	0.762191858367962	0.237808141632038
F01	Control	Control	0.164737034766731	0.83526296523327
F11	Control	Control	0.211040897497668	0.788959102502332
D12	Control	Control	0.248150092308187	0.751849907691813
J07	Control	Control	0.303855054206857	0.696144945793143
A08	Control	Control	0.263369112136606	0.736630887863394
C07	Control	Control	0.329778031735139	0.670221968264861
I13	Control	Control	0.259230802899589	0.740769197100411
E09	BRCACancer	Control	0.172821800093842	0.827178199906158
I02	Control	Control	0.291076651205256	0.708923348794744
E11	Control	Control	0.272753156263878	0.727246843736121
G05	BRCACancer	Control	0.337897111163863	0.662102888836137
E10	BRCACancer	Control	0.433965800361875	0.566034199638125
B04	BRCACancer	Control	0.366861736765667	0.633138263234333
F02	Control	Control	0.221268365196437	0.778731634803564
H01	Control	Control	0.293128941924013	0.706871058075987
H02	Control	Control	0.215844453784258	0.784155546215742
J08	Control	Control	0.165687921161903	0.834312078838097
A07	Control	Control	0.269313506270336	0.730686493729664
J03	Control	Control	0.148710682951594	0.851289317048407
K03	BRCACancer	Control	0.349890945684725	0.650109054315275
K02	BRCACancer	Control	0.308016930535132	0.691983069464868
C09	Control	Control	0.46366300863175	0.53633699136825
I10	Control	Control	0.298144754699377	0.701855245300623
E01	BRCACancer	BRCACancer	0.648023875360985	0.351976124639015
G04	BRCACancer	Control	0.381758699752679	0.618241300247321
B08	Control	Control	0.197315219021508	0.802684780978492
D07	Control	BRCACancer	0.756078126969497	0.243921873030503
D01	BRCACancer	Control	0.100111261513728	0.899888738486272
G10	BRCACancer	Control	0.482809320147854	0.517190679852146
E08	Control	BRCACancer	0.671051639200141	0.328948360799859
E07	BRCACancer	Control	0.392327302511259	0.607672697488741
G09	Control	Control	0.138318752805934	0.861681247194066
C11	Control	Control	0.298613280814642	0.701386719185358
I04	Control	Control	0.352259272317127	0.647740727682873
I06	Control	Control	0.133986948012111	0.86601305198789
I08	Control	Control	0.171695646580497	0.828304353419503
I07	Control	Control	0.332429632689901	0.6675703673101
E12	BRCACancer	Control	0.423937158836785	0.576062841163215
B09	Control	Control	0.209607687079855	0.790392312920145
D06	BRCACancer	Control	0.354021580776899	0.6459784192231
D04	BRCACancer	Control	0.220168524756967	0.779831475243033
F06	Control	Control	0.331924967437676	0.668075032562324
D02	BRCACancer	Control	0.106171049029243	0.893828950970758
H12	BRCACancer	Control	0.361623090859568	0.638376909140432
F12	Control	Control	0.21008433235489	0.78991566764511
A05	Control	Control	0.102552602632206	0.897447397367794
A12	Control	Control	0.239233461521729	0.760766538478271
C04	Control	Control	0.270276217417924	0.729723782582076
E02	Control	Control	0.249709704624231	0.750290295375769
G03	Control	Control	0.135020832167094	0.864979167832906
B02	Control	BRCACancer	0.678103339814223	0.321896660185777
F05	Control	Control	0.334863188553159	0.665136811446841
H11	BRCACancer	BRCACancer	0.789179805524832	0.210820194475168
H10	BRCACancer	BRCACancer	0.587103964034554	0.412896035965446
F10	Control	Control	0.329141238662631	0.670858761337369
H04	Control	Control	0.15849564989842	0.84150435010158
J01	Control	Control	0.287609019653995	0.712390980346005
J10	Control	Control	0.228467935518047	0.771532064481953
C06	Control	Control	0.299403943365643	0.700596056634357
I12	Control	Control	0.112897955164556	0.887102044835444
G11	BRCACancer	Control	0.261773917324497	0.738226082675503
I03	Control	Control	0.372073948372241	0.62792605162776
B05	BRCACancer	Control	0.343897610966191	0.656102389033809
