InstanceID	DependentVariableValue	Prediction	BRCACancer_Probability	Control_Probability
D09	Control	Control	0.311139722030052	0.688860277969948
F04	Control	Control	0.320578916164321	0.679421083835679
H09	BRCACancer	Control	0.315425403186253	0.684574596813748
J09	Control	Control	0.323204458674614	0.676795541325386
J05	Control	Control	0.327955693096586	0.672044306903414
J04	Control	Control	0.311925235765248	0.688074764234752
K01	BRCACancer	Control	0.313726899818637	0.686273100181363
J11	Control	Control	0.312451390510007	0.687548609489993
I11	Control	Control	0.331597888844667	0.668402111155333
C02	BRCACancer	Control	0.311718407070602	0.688281592929398
C10	BRCACancer	Control	0.316830995896611	0.683169004103389
I09	Control	Control	0.318978618739841	0.681021381260159
B10	Control	Control	0.314712534475038	0.685287465524962
F01	Control	Control	0.312728518790377	0.687271481209623
F11	Control	Control	0.34765368791066	0.65234631208934
D12	Control	Control	0.316722416855544	0.683277583144456
J07	Control	Control	0.320916793255294	0.679083206744706
A08	Control	Control	0.2785199555709	0.7214800444291
C07	Control	Control	0.337829460171903	0.662170539828097
I13	Control	Control	0.332729258454011	0.667270741545989
E09	BRCACancer	Control	0.353785025459446	0.646214974540554
I02	Control	Control	0.253899835390238	0.746100164609762
E11	Control	Control	0.333310949988936	0.666689050011064
G05	BRCACancer	Control	0.237857047958079	0.76214295204192
E10	BRCACancer	Control	0.328035471276623	0.671964528723377
B04	BRCACancer	Control	0.296548276231089	0.703451723768911
F02	Control	Control	0.355216231028581	0.644783768971419
H01	Control	Control	0.346114107611718	0.653885892388282
H02	Control	Control	0.340210338512171	0.659789661487829
J08	Control	Control	0.347633584435806	0.652366415564194
A07	Control	Control	0.312834525355232	0.687165474644768
J03	Control	Control	0.346625514219558	0.653374485780442
K03	BRCACancer	Control	0.359998914145206	0.640001085854794
K02	BRCACancer	Control	0.390498091342425	0.609501908657575
C09	Control	Control	0.330456381544708	0.669543618455292
I10	Control	Control	0.369688899589531	0.630311100410469
E01	BRCACancer	Control	0.279581591486031	0.720418408513969
G04	BRCACancer	Control	0.310009310646307	0.689990689353693
B08	Control	Control	0.328763535301689	0.671236464698311
D07	Control	Control	0.30918452755699	0.69081547244301
D01	BRCACancer	Control	0.320887093080325	0.679112906919675
G10	BRCACancer	Control	0.310145661551791	0.689854338448209
E08	Control	Control	0.315297718385991	0.684702281614009
E07	BRCACancer	Control	0.303000204716652	0.696999795283348
G09	Control	Control	0.313477157717964	0.686522842282036
C11	Control	Control	0.306298739901462	0.693701260098538
I04	Control	Control	0.301529459793637	0.698470540206363
I06	Control	Control	0.310285140918578	0.689714859081422
I08	Control	Control	0.277612218357627	0.722387781642373
I07	Control	Control	0.307616268329401	0.6923837316706
E12	BRCACancer	Control	0.279741681057533	0.720258318942467
B09	Control	Control	0.328265844469522	0.671734155530478
D06	BRCACancer	Control	0.297521348199234	0.702478651800766
D04	BRCACancer	Control	0.275971096942855	0.724028903057145
F06	Control	Control	0.308829122282214	0.691170877717786
D02	BRCACancer	Control	0.297134179410703	0.702865820589297
H12	BRCACancer	Control	0.29648443212717	0.70351556787283
F12	Control	Control	0.299704131797339	0.700295868202661
A05	Control	Control	0.306062978444916	0.693937021555084
A12	Control	Control	0.356402498212213	0.643597501787787
C04	Control	Control	0.311349151429359	0.688650848570641
E02	Control	Control	0.351181319716578	0.648818680283422
G03	Control	Control	0.323457954153684	0.676542045846316
B02	Control	Control	0.320521687928258	0.679478312071742
F05	Control	Control	0.316960589299353	0.683039410700647
H11	BRCACancer	Control	0.341745937774912	0.658254062225088
H10	BRCACancer	Control	0.314763911179625	0.685236088820375
F10	Control	Control	0.303479903922575	0.696520096077425
H04	Control	Control	0.358372138685375	0.641627861314625
J01	Control	Control	0.329954506530569	0.67004549346943
J10	Control	Control	0.342463208886057	0.657536791113943
C06	Control	Control	0.255630410689715	0.744369589310285
I12	Control	Control	0.297334971020372	0.702665028979628
G11	BRCACancer	Control	0.280915252789702	0.719084747210299
I03	Control	Control	0.323033961587933	0.676966038412067
B05	BRCACancer	Control	0.395021807533777	0.604978192466223
D08	Control	Control	0.304326106937535	0.695673893062465
D03	BRCACancer	Control	0.337974188333537	0.662025811666463
F03	Control	Control	0.317957204278028	0.682042795721972
A06	Control	Control	0.329828973149279	0.670171026850721
A03	Control	Control	0.315354860216688	0.684645139783312
E04	Control	Control	0.329232298244119	0.670767701755881
C12	BRCACancer	Control	0.359377985205067	0.640622014794933
G02	Control	Control	0.374425478916201	0.625574521083799
G08	Control	Control	0.33566770239952	0.66433229760048
B06	BRCACancer	Control	0.236851195170287	0.763148804829713
B01	Control	Control	0.195455620869646	0.804544379130354
B03	BRCACancer	Control	0.317082917890417	0.682917082109583
D11	Control	BRCACancer	0.584759164598321	0.415240835401679
H07	BRCACancer	Control	0.249600684713709	0.75039931528629
J06	Control	Control	0.340063808077884	0.659936191922116
A02	Control	Control	0.301043343434649	0.698956656565351
A01	Control	Control	0.349686911597758	0.650313088402242
C05	BRCACancer	Control	0.264925214095908	0.735074785904092
C01	BRCACancer	Control	0.306363515516744	0.693636484483256
E06	BRCACancer	Control	0.39855227887061	0.60144772112939
E05	Control	Control	0.286118772374257	0.713881227625743
G01	Control	Control	0.27688840258167	0.72311159741833
G07	Control	Control	0.304376079132437	0.695623920867563
B12	Control	Control	0.43055402696729	0.56944597303271
H08	BRCACancer	Control	0.271388570755004	0.728611429244996
H03	Control	Control	0.208148620001421	0.791851379998579
K05	Control	Control	0.231958285139629	0.768041714860371
A09	Control	Control	0.400116417123775	0.599883582876225
J02	Control	Control	0.333955350012887	0.666044649987113
A04	Control	Control	0.355102628894865	0.644897371105135
J12	Control	Control	0.283841656816555	0.716158343183445
A11	Control	Control	0.33356271761833	0.66643728238167
C03	BRCACancer	Control	0.295237925276409	0.704762074723591
G06	BRCACancer	Control	0.251469120900544	0.748530879099456
B11	Control	Control	0.36552099154647	0.63447900845353
B07	BRCACancer	Control	0.327733278242806	0.672266721757194
D05	BRCACancer	Control	0.301387220893418	0.698612779106583
F07	Control	Control	0.344827152045233	0.655172847954767
F09	Control	Control	0.396068350466911	0.603931649533089
D10	Control	Control	0.406000124515774	0.593999875484226
H06	Control	Control	0.394546700421617	0.605453299578383
K04	BRCACancer	Control	0.368482313207451	0.631517686792549
A10	Control	Control	0.388202695814016	0.611797304185984
C08	Control	Control	0.392974465984944	0.607025534015056
G12	BRCACancer	Control	0.396898155395501	0.603101844604499
E03	Control	Control	0.385808964716473	0.614191035283527
I01	Control	Control	0.352213101580918	0.647786898419082
I05	Control	Control	0.283145315431949	0.716854684568051
