InstanceID	DependentVariableValue	Prediction	BRCACancer_Probability	Control_Probability
D09	Control	Control	0.224429380165159	0.775570619834841
F04	Control	BRCACancer	0.985778392499205	0.0142216075007945
H09	BRCACancer	Control	0.0301766432514925	0.969823356748508
J09	Control	Control	0.312166980284401	0.687833019715599
J05	Control	BRCACancer	0.794139445745459	0.205860554254541
J04	Control	Control	0.0141262294753208	0.98587377052468
K01	BRCACancer	BRCACancer	0.609277218499849	0.390722781500151
J11	Control	Control	0.0024099941242141	0.997590005875786
I11	Control	Control	0.215800136657457	0.784199863342544
C02	BRCACancer	Control	0.383194018981501	0.6168059810185
C10	BRCACancer	Control	0.317088952684946	0.682911047315054
I09	Control	BRCACancer	0.646396764928189	0.353603235071811
B10	Control	BRCACancer	0.519217002274474	0.480782997725526
F01	Control	Control	0.0433779036098388	0.956622096390161
F11	Control	Control	6.33495864066183E-4	0.999366504135934
D12	Control	BRCACancer	0.695410142012621	0.304589857987378
J07	Control	BRCACancer	0.546525356418342	0.453474643581658
A08	Control	Control	0.00116164403905246	0.998838355960947
C07	Control	BRCACancer	0.996796236949413	0.00320376305058657
I13	Control	Control	0.0130134493838728	0.986986550616127
E09	BRCACancer	Control	0.0116252790819011	0.988374720918099
I02	Control	Control	0.00769317589257768	0.992306824107422
E11	Control	Control	0.317844144985844	0.682155855014156
G05	BRCACancer	BRCACancer	0.63267631978141	0.367323680218589
E10	BRCACancer	Control	0.152577078924497	0.847422921075503
B04	BRCACancer	Control	0.0348632059989051	0.965136794001095
F02	Control	Control	0.0999164071620924	0.900083592837908
H01	Control	BRCACancer	0.619983793937965	0.380016206062035
H02	Control	Control	0.162482551811715	0.837517448188285
J08	Control	Control	0.477117287674525	0.522882712325475
A07	Control	Control	0.290146865388554	0.709853134611446
J03	Control	Control	0.456111858637969	0.543888141362031
K03	BRCACancer	Control	0.029569979550679	0.970430020449321
K02	BRCACancer	BRCACancer	0.673415735450627	0.326584264549373
C09	Control	Control	0.274859326463317	0.725140673536683
I10	Control	Control	0.467707095178588	0.532292904821412
E01	BRCACancer	BRCACancer	0.911033889504268	0.0889661104957325
G04	BRCACancer	BRCACancer	0.870927910645594	0.129072089354406
B08	Control	Control	0.123724226367916	0.876275773632084
D07	Control	Control	0.113876499264264	0.886123500735736
D01	BRCACancer	Control	0.259192276761731	0.740807723238269
G10	BRCACancer	Control	0.281004224558277	0.718995775441724
E08	Control	Control	0.0602097314485067	0.939790268551493
E07	BRCACancer	BRCACancer	0.8418610315112	0.158138968488801
