InstanceID	DependentVariableValue	Prediction	BRCACancer_Probability	Control_Probability
D09	Control	Control	0.259797637697761	0.740202362302239
F04	Control	Control	0.310369927394942	0.689630072605058
H09	BRCACancer	Control	0.494383209123055	0.505616790876945
J09	Control	Control	0.441593966348968	0.558406033651032
J05	Control	Control	0.303480588050982	0.696519411949018
J04	Control	Control	0.222951737694224	0.777048262305776
K01	BRCACancer	Control	0.294545462096031	0.705454537903969
J11	Control	Control	0.183798726775335	0.816201273224665
I11	Control	BRCACancer	0.634247364628617	0.365752635371383
C02	BRCACancer	Control	0.243542437114933	0.756457562885067
C10	BRCACancer	Control	0.322986734830043	0.677013265169957
I09	Control	Control	0.345866861300072	0.654133138699928
B10	Control	Control	0.350316621826402	0.649683378173598
F01	Control	Control	0.334998515504557	0.665001484495443
F11	Control	Control	0.247918354488134	0.752081645511866
D12	Control	Control	0.29074206916113	0.70925793083887
J07	Control	Control	0.346481798589681	0.653518201410319
A08	Control	Control	0.28136874127421	0.71863125872579
C07	Control	Control	0.350558529202114	0.649441470797886
I13	Control	Control	0.287998009348761	0.712001990651239
E09	BRCACancer	Control	0.28852591201858	0.71147408798142
I02	Control	Control	0.221579744049474	0.778420255950526
E11	Control	Control	0.226408817955878	0.773591182044122
G05	BRCACancer	BRCACancer	0.54233733074644	0.45766266925356
E10	BRCACancer	Control	0.342623816760179	0.657376183239821
B04	BRCACancer	Control	0.302702905806162	0.697297094193838
F02	Control	Control	0.285620016053317	0.714379983946683
H01	Control	Control	0.364302533322876	0.635697466677124
H02	Control	Control	0.233128775445594	0.766871224554406
J08	Control	Control	0.287746289609184	0.712253710390816
A07	Control	Control	0.321645253831994	0.678354746168006
J03	Control	Control	0.261655408001372	0.738344591998628
K03	BRCACancer	Control	0.353946027663354	0.646053972336646
K02	BRCACancer	Control	0.291922837107563	0.708077162892437
C09	Control	Control	0.271586262885674	0.728413737114326
I10	Control	Control	0.255701254983276	0.744298745016725
E01	BRCACancer	Control	0.35708787651134	0.64291212348866
G04	BRCACancer	Control	0.259258223564582	0.740741776435418
B08	Control	Control	0.226618740050536	0.773381259949464
D07	Control	Control	0.211297437931397	0.788702562068603
D01	BRCACancer	Control	0.363259300557302	0.636740699442698
G10	BRCACancer	Control	0.28195796695062	0.71804203304938
E08	Control	Control	0.300186159234275	0.699813840765725
E07	BRCACancer	Control	0.279426392554364	0.720573607445636
G09	Control	Control	0.477155058493373	0.522844941506627
C11	Control	Control	0.353639172075552	0.646360827924448
I04	Control	Control	0.270878356029292	0.729121643970708
I06	Control	BRCACancer	0.524076704875275	0.475923295124725
I08	Control	Control	0.38895143552306	0.61104856447694
I07	Control	Control	0.282390922090646	0.717609077909354
E12	BRCACancer	BRCACancer	0.607092358551005	0.392907641448995
