InstanceID	DependentVariableValue	Prediction	BRCACancer_Probability	Control_Probability
D09	Control	Control	0.33695907050446	0.66304092949554
F04	Control	Control	0.312728110136472	0.687271889863528
H09	BRCACancer	Control	0.297756148805092	0.702243851194908
J09	Control	Control	0.292049597326015	0.707950402673985
J05	Control	Control	0.292320295868932	0.707679704131068
J04	Control	Control	0.331111780953121	0.668888219046879
K01	BRCACancer	Control	0.316861131605813	0.683138868394187
J11	Control	Control	0.328316182674392	0.671683817325608
I11	Control	Control	0.297054896160245	0.702945103839755
C02	BRCACancer	Control	0.315913791589463	0.684086208410537
C10	BRCACancer	Control	0.30879698329946	0.69120301670054
I09	Control	Control	0.328800434164395	0.671199565835605
B10	Control	Control	0.305887709129675	0.694112290870325
F01	Control	Control	0.329790740780894	0.670209259219106
F11	Control	Control	0.310455342391901	0.689544657608099
D12	Control	Control	0.311427298024286	0.688572701975714
J07	Control	Control	0.320273831077114	0.679726168922886
A08	Control	Control	0.31724493198762	0.68275506801238
C07	Control	Control	0.313090475155061	0.686909524844939
I13	Control	Control	0.305865821918435	0.694134178081565
E09	BRCACancer	Control	0.340898273370219	0.65910172662978
I02	Control	Control	0.319475700552024	0.680524299447976
E11	Control	Control	0.316142087082126	0.683857912917874
G05	BRCACancer	Control	0.309005338091184	0.690994661908816
E10	BRCACancer	Control	0.316290003236808	0.683709996763192
B04	BRCACancer	Control	0.317866278575706	0.682133721424294
F02	Control	Control	0.307315385075021	0.692684614924979
H01	Control	Control	0.317553172522452	0.682446827477548
H02	Control	Control	0.312032072937625	0.687967927062375
J08	Control	Control	0.306308939868868	0.693691060131132
A07	Control	Control	0.319610035318595	0.680389964681405
J03	Control	Control	0.318601604712175	0.681398395287825
K03	BRCACancer	Control	0.318914767337549	0.68108523266245
K02	BRCACancer	Control	0.314676710384714	0.685323289615286
C09	Control	Control	0.309105855513089	0.69089414448691
I10	Control	Control	0.301881990185286	0.698118009814714
E01	BRCACancer	Control	0.315070018703741	0.684929981296259
G04	BRCACancer	Control	0.311513312940238	0.688486687059762
B08	Control	Control	0.304504403753135	0.695495596246866
D07	Control	Control	0.317895060089015	0.682104939910985
D01	BRCACancer	Control	0.303009212419014	0.696990787580986
G10	BRCACancer	Control	0.314902844930941	0.685097155069059
E08	Control	Control	0.328336690095198	0.671663309904802
E07	BRCACancer	Control	0.355775991434901	0.644224008565099
G09	Control	Control	0.287315551674078	0.712684448325922
C11	Control	Control	0.348600437303813	0.651399562696187
I04	Control	Control	0.338831478456713	0.661168521543287
I06	Control	Control	0.298181546829298	0.701818453170701
I08	Control	Control	0.338167722994125	0.661832277005875
I07	Control	Control	0.275275233725131	0.72472476627487
E12	BRCACancer	Control	0.284437999802321	0.71556200019768
B09	Control	Control	0.328660324495021	0.671339675504979
D06	BRCACancer	Control	0.321283500904783	0.678716499095217
D04	BRCACancer	Control	0.304057179071266	0.695942820928734
F06	Control	Control	0.343827423672184	0.656172576327816
D02	BRCACancer	Control	0.340546878561818	0.659453121438182
H12	BRCACancer	Control	0.329092384741778	0.670907615258222
F12	Control	Control	0.338996518643265	0.661003481356735
A05	Control	Control	0.3163659953228	0.6836340046772
A12	Control	Control	0.299822557359373	0.700177442640627
C04	Control	Control	0.311034936354634	0.688965063645366
E02	Control	Control	0.3060608407237	0.6939391592763
G03	Control	Control	0.317281185224734	0.682718814775266
B02	Control	Control	0.343945949908319	0.656054050091681
F05	Control	Control	0.327819375671765	0.672180624328235
H11	BRCACancer	Control	0.301132169213185	0.698867830786815
H10	BRCACancer	Control	0.299453054452627	0.700546945547373
F10	Control	Control	0.318501321010459	0.681498678989541
H04	Control	Control	0.301020644088353	0.698979355911647
J01	Control	Control	0.309554434570595	0.690445565429405
J10	Control	Control	0.332766149475616	0.667233850524384
C06	Control	Control	0.305016798399128	0.694983201600872
I12	Control	Control	0.304629226967429	0.695370773032571
G11	BRCACancer	Control	0.303171301131817	0.696828698868183
I03	Control	Control	0.290104202225539	0.709895797774461
B05	BRCACancer	Control	0.320645552863461	0.679354447136539
D08	Control	Control	0.312452096567668	0.687547903432332
D03	BRCACancer	Control	0.312312249001598	0.687687750998402
F03	Control	Control	0.303830560967213	0.696169439032787
A06	Control	Control	0.301995226464196	0.698004773535804
A03	Control	Control	0.314794057898343	0.685205942101657
E04	Control	Control	0.311759608110205	0.688240391889795
C12	BRCACancer	Control	0.316851418812917	0.683148581187083
G02	Control	Control	0.319440152731828	0.680559847268172
G08	Control	Control	0.327536986971604	0.672463013028396
B06	BRCACancer	Control	0.299349915948591	0.700650084051409
B01	Control	Control	0.298287269059248	0.701712730940752
B03	BRCACancer	Control	0.302703165691621	0.697296834308379
D11	Control	Control	0.293642433135705	0.706357566864295
H07	BRCACancer	Control	0.293670459328088	0.706329540671912
J06	Control	Control	0.304352638218047	0.695647361781953
A02	Control	Control	0.327470322238241	0.672529677761759
A01	Control	Control	0.317285454522294	0.682714545477706
C05	BRCACancer	Control	0.288051254301824	0.711948745698176
C01	BRCACancer	Control	0.317774351980399	0.682225648019601
E06	BRCACancer	Control	0.29877200657592	0.70122799342408
E05	Control	Control	0.314508280540945	0.685491719459055
G01	Control	Control	0.300405562903319	0.699594437096681
G07	Control	Control	0.32200303625774	0.67799696374226
B12	Control	Control	0.283520594757615	0.716479405242385
H08	BRCACancer	Control	0.335764671914899	0.6642353280851
H03	Control	Control	0.391721705153925	0.608278294846075
K05	Control	Control	0.332627165106064	0.667372834893936
A09	Control	Control	0.289404074037751	0.710595925962249
J02	Control	Control	0.259258825244457	0.740741174755543
A04	Control	Control	0.300943286955925	0.699056713044075
J12	Control	Control	0.391693113024985	0.608306886975015
A11	Control	Control	0.281020051668142	0.718979948331858
C03	BRCACancer	Control	0.298609525169276	0.701390474830724
G06	BRCACancer	Control	0.281187310054298	0.718812689945702
B11	Control	Control	0.299088497683716	0.700911502316285
B07	BRCACancer	Control	0.267183760871522	0.732816239128478
D05	BRCACancer	Control	0.297628883274178	0.702371116725822
F07	Control	Control	0.307172452173167	0.692827547826833
F09	Control	Control	0.318549784917797	0.681450215082203
D10	Control	Control	0.289932582434761	0.71006741756524
H06	Control	Control	0.280410881385776	0.719589118614224
K04	BRCACancer	Control	0.291289742942069	0.708710257057931
A10	Control	Control	0.287202729573459	0.71279727042654
C08	Control	Control	0.297216154480672	0.702783845519328
G12	BRCACancer	Control	0.327565540102136	0.672434459897864
E03	Control	Control	0.346852932807225	0.653147067192775
I01	Control	Control	0.319779279054668	0.680220720945332
I05	Control	Control	0.297791458974915	0.702208541025085
